Complexity,Loss,Equation
1,0.0017069842,"x1"
3,0.0017036499,"x1 * 0.99818027"
5,0.00170039,"x1 + (x0 * -0.002570317)"
7,0.0008930887,"(x1 * 2.0882504) + (x0 * -1.0925523)"
9,0.00087027147,"(-1.1136029 * x0) + ((x1 * 2.1092622) + 0.0048081246)"
13,0.0008664367,"((x0 * ((x0 * 0.0037438772) + -1.1175699)) + (x1 * 1.1129451)) + x1"
14,0.0008435322,"(x0 * -1.0047301) + ((x1 + square((x0 * -1.0646907) + x1)) + x1)"
16,0.0008291575,"((x0 * -1.0737882) + ((x1 + square((x0 * -1.0640737) + x1)) + x1)) * 1.0742463"
19,0.0006548491,"((x1 + x1) + ((((((x0 * -1.0009388) + x1) * x1) * -0.43852127) + -1.2887583) * x0)) * 1.4005628"
20,0.00064983516,"(x1 + ((((((x0 * -1.0009388) + x1) * (square(x0) * 0.40385404)) + x0) * -1.2887583) + x1)) * 1.4005628"
21,0.0006380554,"(((x1 + 0.00294063) + x1) + ((((((x0 * -1.0009388) + x1) * x1) * -0.43852127) + -1.2887583) * x0)) * 1.4005628"
22,0.0006376994,"(((x1 + 0.00294063) + (((((x0 * -1.0009388) + x1) * (square(x0) * 0.40385404)) + x0) * -1.2887583)) + x1) * 1.4005628"
23,0.000637522,"(((x1 + 0.00294063) + x1) + ((((((x0 * -1.0009388) + x1) * (0.00294063 + x1)) * -0.43852127) + -1.2887583) * x0)) * 1.4005628"
24,0.0006010085,"((0.0032219135 + x1) + ((x0 * (-1.1937621 + ((1.2358018 + cube(x1)) * ((x1 + (x0 * -1.0005367)) * -0.14660926)))) + x1)) * 1.2358018"
26,0.00059751724,"(((x0 * ((((x1 + cube(x1)) + 1.3130748) * ((x1 + (x0 * -1.0009868)) * -0.12693502)) + -1.1915401)) + (x1 + 0.0033100771)) + x1) * 1.2321999"
27,0.0005973649,"(((0.0033100771 + (x0 * ((((x1 + cube(x1)) + cube(1.1029339)) * ((x1 + (x0 * -1.0009868)) * -0.12693502)) + -1.1915401))) + x1) + x1) * 1.2321999"
28,0.0005944466,"((((((((cube(x1) + 1.3138212) + x1) * (((x0 + -9.437208e-7) * -1.0007237) + x1)) * -0.11939795) + -1.2049723) * x0) + (x1 + 0.0031450372)) + x1) * 1.2530737"
30,0.0005943288,"(((x0 * ((((((x1 + 0.9121171) * (x1 * 0.60534555)) + cube(x1)) * (x1 + (x0 * -1.0005366))) * -0.1466091) + -1.1937621)) + x1) + (x1 + 0.0032219794)) * 1.2358018"
32,0.00059322844,"(((x0 * (((((x0 * -0.9998161) + x1) * -0.1233856) * (((x1 + 0.39183724) + ((x0 * x1) * 0.6047518)) + cube(x1))) + -1.1980081)) + x1) + (x1 + 0.0033347532)) * 1.242807"
38,0.0005914875,"((x1 + ((x0 * (((((cube(x1) + 1.4554038) + ((x0 * x1) * ((x1 * 1.3154147) + ((x0 + -0.054789245) * -1.1892947)))) * (x1 + (x0 * -1.0009167))) * -0.14956103) + -1.1925536)) + 0.003214746)) + x1) * 1.2334977"
45,0.0005914127,"((x1 + (x0 * (-1.1915401 + ((0.45534608 + ((cube(x1) + ((cube(x0) * x1) * ((-1.1915401 * (cube(-0.3786501) + x0)) + (1.3130748 * x1)))) + (-1.1915401 * inv(-1.1915401)))) * ((x1 + (x0 * -1.0009868)) * -0.12693502))))) + (0.0033100771 + x1)) * 1.2321999"
